Organization/Person Name,Description,Primary Job Title,Primary Organization,Investment Stage,Investor Type,Regions,Twitter,Website,Number of Investments,Number of Exits
Tina Sharkey,"Tina Sharkey is an entrepreneur and investor, passionate about building movements with soul and social-minded businesses at scale. Most rece...",TitleCo-Founder + Co-Chairperson,Brandless,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/TinaSharkey,,3,
Esther Dyson,"Esther Dyson does business as EDventure Holdings, the reclaimed name of the company she owned for 20-odd years before selling it to CNET Net...",Founder,Way to Wellville,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",http://twitter.com/edyson,,97,24
Diane Greene,Diane Greene has served as a member of Alphabet’s board of directors since October 2015 and has served as a member of Google’s board of dire...,Head of Enterprise,Google Cloud Platform,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",,https://en.wikipedia.org/wiki/Diane_Greene,10,2
Julia Hartz,Julia Hartz hopes to inspire people to live more by building the world's largest marketplace of live experiences.  Since founding Eventbr...,"CEO, President & Co-Founder",Eventbrite,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/juliahartz,,8,
Heidi Zak,"A few years ago, Heidi Zak left Google with the dream of building a new kind of bra company. Fueled by her passion for retail and frustrated...",Co-Founder and Co-CEO,ThirdLove,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/heidizaks,,5,
Mathilde Collin,"Mathilde Collin is the co-founder and CEO of Front. Prior to that, Mathilde served as a project manager at Concord. She holds a master's deg...",CEO and Co-Founder,Front,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/collinmathilde,,5,
Jessica Alba,"Jessica Alba is a Golden Globe-nominated actress whose career includes roles in films such as ""Fantastic Four"" and ""Little Fockers,"" as well...",Founder,The Honest Company,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/jessicaalba,,3,1
Ara Katz,Ara Katz - Co-Founder and Co-CEO @ Seed Health,Co-Founder and Co-CEO,Seed Health,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/arakatz,,2,
Arlan Hamilton,"Arlan built a venture capital fund from the ground up, while homeless. She is the Founder and Managing Partner of Backstage Capital, a fund ...",Founder & Managing Partner,Backstage Capital,Seed,"Investment Partner, Individual/Angel","Greater Los Angeles Area, West Coast, Western US",https://twitter.com/arlanwashere,,2,
Shana Fisher,"Shana Fisher is the Managing Partner of HLVP, a NY Based venture fund focused on early stage investments.  From December 2003 to June 201...",Managing Partner,Third Kind Venture Capital,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",,,17,5
Aileen Lee,"Aileen is the founder of Cowboy Ventures, a seed-stage focused fund. They seek to back exceptional teams building technology that re-imagine...",Founder and Managing Partner,Cowboy Ventures,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, Silicon Valley, West Coast",http://twitter.com/aileenlee,,2,
Shan-Lyn Ma,"Shan-Lyn Ma is Co-founder and CEO of Zola, the wedding company reinventing the wedding planning and registry experience by combining compass...",Co-Founder & CEO,Zola,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/shanlynm?lang=en,,11,
Jennifer Hyman,"Jennifer Hyman is the Co-Founder and Chief Executive Officer of Rent the Runway, a fashion company with a technology soul that is disrupting...",Co-Founder & Chief Executive Officer,Rent the Runway,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/Jenn_RTR,,6,1
Melinda Gates,"Melinda Gates is the Founder of Pivotal Ventures and Co-Chair of the Bill and Melinda Gates Foundation. Along with Bill, she shapes and app...",Co-chair and Trustee,Bill & Melinda Gates Foundation,Seed,Individual/Angel,"Greater Seattle Area, West Coast, Western US",https://twitter.com/melindagates,,1,
Elizabeth Vargas,"Elizabeth Vargas is the founder and CEO of Edge Music Network, a premium music video streaming platform. Her career started with humble upbr...",Founder and CEO,Edge Music Network,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",,,1,
Sallie Krawcheck,"Sallie Krawcheck’s professional mission is to help women reach their financial and professional goals (or, put more bluntly, to get more mon...",Co-Founder & Chief Executive Officer,Ellevest,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/SallieKrawcheck,,2,
Martha Stewart,"Martha Stewart is an Award-winning television show host, entrepreneur, and bestselling author, as well as a lifestyle expert and teacher. Sh...","Founder, Chairwoman",Martha Stewart Living Omnimedia,Seed,Individual/Angel,East Coast,http://twitter.com/marthastewart,http://www.marthastewart.com,1,1
Joanne Wilson,"Joanne Wilson has had many careers. She started out in retail, eventually moving to the wholesale arena. She then transitioned to the media ...",CEO,Gotham Gal Ventures,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",http://twitter.com/thegothamgal,http://www.gothamgal.com,66,6
Marissa Mayer,"Marissa Mayer is currently the cofounder of Lumi Labs, a technology studio focused on the intersection of consumer media and artificial inte...",Co-founder,Lumi Labs,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/marissamayer,,24,5
Carrie Cox,"Carrie S. Cox is Executive Chairman and former Chief Executive Officer of Humacyte, Inc. She joined Humacyte in 2010 and previously served a...",,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Kat Taylor,"Kat Taylor works in service of restoring social justice and environmental well-being. Kat is active in a variety of social enterprises, publ...",Co-CEO & Co-Founder,Beneficial State Bank,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",,,3,
Ruchi Sanghvi,"Ruchi Sanghvi was the VP of Operations at Dropbox. Prior to joining Dropbox, Sanghvi served as the co-founder and CEO of Cove, a collaborati...",Founder,South Park Commons,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/rsanghvi,,31,8
Caterina Fake,"Caterina Fake is an investor at Yes VC, a pre-seed and seed stage venture capital fund, and is the host of the #1 Tech Podcast Should This E...",General Partner,Yes VC,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/Caterina,http://www.caterina.net,24,8
Demi Moore,Demi is an actress and a long-standing advocate for women’s issues. She received a Golden Globe nomination for her role in _If These Walls C...,Founder,Thorn,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/justdemi,,3,
Liz Wessel,"Liz Wessel loves helping people get hired. She is the Co-Founder and CEO of WayUp, the go-to platform used by millions of early-career profe...",Co-founder & CEO,WayUp,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/lizwessel,,4,
Tyra Banks,"Tyra Banks is an actress, author, television personality, supermodel, and founder of TZONE. In the fashion industry, Banks is known for he...",Founder,TZONE,Seed,"Investment Partner, Individual/Angel","Greater Los Angeles Area, West Coast, Western US",http://twitter.com/tyrabanks,http://tyra.com,4,
Ellen Levy,"Ellen is Managing Director of Silicon Valley Connect, working with organizations and entrepreneurs on opportunities for “networked innovatio...",Managing Director,Silicon Valley Connect,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/ellenlevy,,24,4
Shradha Agarwal,"Shradha Agarwal has a lifelong passion for building organizations to connect people and information, as well as align profit and purpose, ha...",Founder & Managing Partner,Jumpstart Ventures,Seed,Individual/Angel,"Greater Chicago Area, Great Lakes, Midwestern US",http://twitter.com/shradha0,,1,1
Lynne Benioff,Lynne Benioff is an independent marketing consultant and philanthropist active with several health care and community foundations. Previousl...,Board Member,Common Sense Media,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,3,
Shari Redstone,Shari Redstone is a media executive with a wide-ranging background in numerous aspects of the entertainment industry and related ventures. S...,President,National Amusements,Seed,"Investment Partner, Individual/Angel","Greater Boston Area, East Coast, New England",,,1,
Jennifer Bailey,"Jennifer Bailey serves as vice president of Internet Services at Apple.  Jennifer oversees all efforts for Apple Pay, Apple’s new, transform...","Vice President, Internet Services, Apple Pay",Apple,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Wendi Murdoch,"Wendi Murdoch is a Chinese-American entrepreneur, art collector, film producer, and businesswoman. Born in Jinan, Shandong, she was the thir...",Co-founder,Artsy,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/theWendiMurdoch,https://www.thewendimurdoch.com/,14,2
Katie Shea,"Katie Shea is an investor, entrepreneur & growth marketer passionate about connecting great people and building great companies. Currently, ...",Partner,Kairos,"Early Stage Venture, Seed",Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/katiesheasays,http://about.me/katieshea,15,
Katie Stanton,"Katie Jacobs Stanton was previously the Head of Marketing at Color Genomics, a gene startup. Previously, Katie served as Vice President, Gl...",Founder & General Partner,Moxxie Ventures,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/katies,,8,1
Christine Tsai,"Christine Tsai is the Partner & Chief Pug Herder at 500 Startups. Prior to joining 500 Startups, she was in product marketing at Google a...",CEO and Co-Founder,500 Startups,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/christine_tsai,http://christinetsai.co/,15,4
Brianne Kimmel,"As an early stage enterprise investor, I help companies build a product-led growth strategy and advise on product, monetization and go-to-ma...",Network Leader,Village Global,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/briannekimmel?lang=en,http://briannekimmel.com/,2,
Lori Greiner,Lori Greiner - Owner @ For Your Ease Only,Owner,For Your Ease Only,Seed,Individual/Angel,"Greater Chicago Area, Great Lakes, Midwestern US",https://twitter.com/lorigreiner,,6,
Mar Hershenson,"Mar Hershenson is a co-founder and Managing Partner at Pejman Mar Ventures, a seed-stage investment firm in Palo Alto. At Pejman Mar Venture...",Managing Partner,Pear Ventures,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/marhershenson,,4,1
Dasha Zhukova,"Dasha Zhukova is an entrepreneur and investor whose work is at the intersection of art, architecture, and culture. In 2008, she founded the...","Investor, Advisor, and Co-founder",Artsy,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/dashazhukova,http://dashazhukova.com,4,
Rosario Dawson,"Rosario Dawson has garnered praise for her numerous leading roles with today’s hottest film actors and directors, making her one of Hollywoo...",,,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/rosariodawson,,1,
Jillian Michaels,"Jillian Michaels is a bestselling author, Daytime Emmy nominated television personality, entrepreneur, and one of the nation’s leading healt...",Owner,Empower Media,Seed,Individual/Angel,"Greater Miami Area, East Coast, Southern US",http://twitter.com/JillianMichaels,http://www.jillianmichaels.com/,2,
Alexia Bonatsos,"Alexia Bonatsos is the former co-editor-in-chief of Techcrunch and one of the earliest reporters to write about WhatsApp, Uber, Instagram, A...",General Partner,Dream Machine,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/alexia,,1,
Edith Yeung,"Edith Yeung is the creator of the China Internet Report, a partner at Proof of Capital and adviser to 500 Startups. Ms. Yeung invests in blo...",General Partner,Proof of Capital,"Early Stage Venture, Seed, Venture","Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/edithyeung,https://edith.co,35,3
Ann Miura-Ko,"Ann Miura-Ko is a co-founding partner at Floodgate, a seed-stage VC firm in Palo Alto, CA. A repeat member of the Forbes Midas List and the ...",Co-Founder and Partner,Floodgate,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, Silicon Valley, West Coast",http://twitter.com/annimaniac,,2,
Leandra Medine,"Leandra Medine is the founder of ManRepeller.com,  a humorous site for serious fashion. Launched in 2010 during Medine's Junior Year studyin...",Founder,The Man Repeller,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,http://www.manrepeller.com/,3,2
Tracy Brennan,Tracy Brennan is the perfect representation of a woman who has it all – she has achieved such an enviable balance within both her profession...,Talent Agent,Creative Artists Agency,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/tracybrennan007?lang=en,,1,
Sarah Imbach,"Sarah Imbach is an active angel investor and start-up advisor. Before locating to the northwest in 2011, Sarah was an early operating exec a...",,,Seed,Individual/Angel,"Greater Seattle Area, West Coast, Western US",,,11,1
Lori Goler,Lori Goler is the Vice President of Human Resources and Recruiting and is responsible for all aspects of [Facebook's](/organization/facebook...,Board Member,Lean In,Seed,Individual/Angel,"West Coast, Western US",,,2,
Suzy Welch,"Welch started her career as a reporter with the Miami Herald and then with the Associated Press. After business school, she worked for sever...",Influencer Columnist,LinkedIn,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/SuzyWelch,,2,1
Tracy Young,Tracy is the Visiting Partner of Y Combinator. She is a former co-founder and CEO of PlanGrid. Tracy has a degree in Construction Engineerin...,,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/tracy_young,,3,
Laurene Powell,"Laurene Powell Jobs is founder and chair of Emerson Collective, an organization that supports social entrepreneurs who are committed to the ...",Founder & President,Emerson Collective,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, Silicon Valley, West Coast",https://twitter.com/laurenepowell,,3,1
Sarah Downey,"Interests of a 17 year-old boy in the guise of an adult female | VC @Accomplices | Founder #RevBoston | weights, gaming, AR/VR, scifi Outsi...",Principal,Accomplice,"Early Stage Venture, Initial Coin Offering, Seed, Venture","Investment Partner, Individual/Angel","Greater Boston Area, East Coast, New England",http://twitter.com/SarahADowney,http://www.sarahadowney.com,3,
Arielle Zuckerberg,"Arielle Zuckerberg the youngest sister of Facebook CEO Mark Zuckerberg, is joining Kleiner Perkins Caufield & Byers in October 2015, in a bi...",Senior Product Manager,Humin,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/ariellezuck?lang=en,,5,
Amy Nauiokas,"Amy Nauiokas is Founder and CEO of Anthemis and Founder and of Archer Gray, a media production, financing and venture investment company. Sh...",Co-Founder & Chief Executive Officer,Anthemis Group,"Early Stage Venture, Late Stage Venture, Seed, Venture","Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",http://twitter.com/AmyNauiokas,http://amynauiokas.com,1,
Jesse Draper,"Jesse Draper is founding partner of Halogen Ventures as well as creator and host of 2015 Emmy nominated television series,“The Valley Girl S...",Founding Partner,Halogen Ventures,Seed,"Investment Partner, Individual/Angel","Greater Los Angeles Area, West Coast, Western US",https://twitter.com/JesseDraper,,8,1
Shruti Gandhi,Shruti Gandhi brings a strong mix of operating and investing experience. She has invested in 9 companies which have resulted in 4 successful...,Founder and Managing Partner,Array Ventures,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/atShruti,http://www.shrutigandhi.com,2,
Mariam Naficy,"Mariam Naficy is the Founder and Chief Executive Officer at Minted since June 2007. Minted, Mariam's newest venture founded in 2007, is a cr...",Co-Founder & CEO,Minted,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/mnaficy,,3,1
Anu Duggal,"Anu is the Founding Partner of Female Founders Fund, an early-stage fund investing in technology companies started by women. Female Founders...",Founding Partner,Female Founders Fund,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",https://twitter.com/anuduggalnyc,,1,
Deborah Quazzo,"Deborah is the Managing Partner of GSV AcceleraTE, a venture capital fund investing in exceptional entrepreneurs and their companies in the ...",Founder & Managing Partner,GSV Ventures,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",,,13,3
Emily Melton,Emily Melton has spent over a decade working with early stage companies and has a deep respect and enduring empathy for those who pursue an ...,Partner,DFJ,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/emelton,,1,1
April Underwood,"April Underwood, Slack’s former head of platform who just launched its App Directory and Slack Fund, has leveled up to become the startup’s ...",Chief Product Officer,Slack,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/aunder,http://aprilunderwood.com/,8,1
Sarah Leary,"Sarah Leary is the Co-Founder and Vice President of Marketing and Operations at Nextdoor, the free and private social network for neighborho...","Co-Founder and VP, Marketing and Operations",Nextdoor,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/sarahleary,,1,1
Susan Lyne,"General Partner at BBG Ventures. Before launching BBGV in 2014 she had a long career in media, e-commerce and consumer products. She has hel...",President and Managing Partner,BBG Ventures,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",http://twitter.com/smlyne,,8,
Lily Sarafan,"Lily Sarafan is Co-Founder and CEO of Home Care Assistance (HCA), where she has led the company from startup to sector leader with nearly 10...",co-founder/CEO,Home Care Assistance,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,3,
Halle Tecco,"Halle Tecco is an active angel investor and Adjunct Professor at Columbia Business School. Previously she founded and ran Rock Health, the f...",Angel Investor,Techammer,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/halletecco,http://www.techammer.co,100,25
Deborah Benton,"Deborah Benton was the President & COO of Nasty Gal. Previous to NastyGal, Benton was the COO of ShoeDazzle. Prior to ShoeDazzle, Benton was...",,,"Early Stage Venture, Seed",Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/deborahabenton,http://kaktuscapital.com/,7,1
Rebecca Lynn,"Four times named to Forbes Midas List, Rebecca is Co-founder and General Partner at Canvas Ventures (recognized by Midas as Top VC Firm to W...",Co-founder & General Partner,Canvas Ventures,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/VCRebecca,,2,1
Jalak Jobanputra,"Jalak Jobanputra is Founding Partner of FuturePerfect Ventures, an early stage venture capital fund in NYC. Previously, she was the Director...",Founder and Managing Partner,Future Perfect Ventures,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",http://twitter.com/jalak,,4,3
Rebecca Minkoff,"An industry leader in accessible luxury handbags, accessories, footwear and apparel, Rebecca Minkoff’s playful and subtly edgy designs can b...","Co-Founder, Designer & Owner",Rebecca Minkoff,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,https://www.femalefoundercollective.com/,4,
Debi Coleman,"Deborah Coleman has been a member of our Board of Directors since November 1995. Ms. Coleman is a general partner of SmartForest Ventures, a...",Co-Founder & General Partner,SmartForest Ventures,Seed,Individual/Angel,"West Coast, Western US",,,2,
Rachel Zoe,"Rachel Zoe is a distinguished designer, stylist and editor, renowned for her effortless take on glamour. With a New York Times best selling ...",Editor-in-Chief,The Zoe Report,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/RachelZoe,http://www.rachelzoe.com,5,1
Elizabeth Zalman,"Elizabeth Zalman is the Co-founder & CEO of strongDM, the definitive data security product. Previously she was Co-Founder and CEO of the cro...",Co-Founder & CEO,strongDM,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,http://www.strongdm.com,1,
Sarah Harden,"Sarah Harden is President of Otter Media, The Chernin Group’s (TCG) venture with AT&T which manages, invests in and operates businesses in t...",CEO,Hello Sunshine,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/sveedub,,1,
Hayley Barna,"Hayley Barna is a Venture Partner at First Round Capital based in New York. Prior to joining First Round she co-founded Birchbox, the leadin...",Partner,First Round Capital,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",http://twitter.com/hayleybay,,3,
Ellen Pao,"One of Silicon Valley's leading advocates for diversity and inclusion, Ellen K. Pao is not only a long-time entrepreneur and tech investor, ...",Co-Founder & CEO,Project Include,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/ekp,,7,2
Jennifer A. Doudna,"Jennifer A. Doudna is a professor of biochemistry and molecular biology at the University of California, Berkeley. Her research seeks to und...",Co-Founder,Editas Medicine,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Padmasree Warrior,"Padmasree Warrior is the Founder, President, and Chief Executive Officer at Fable. She is also the Chief Executive Officer of NextEV, U.S. S...","Founder, President, & CEO",Fable,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",http://twitter.com/Padmasree,,2,1
Leslie A. Blodgett,"Leslie Blodgett A visionary recognized by WWD Beauty Inc. in 2014 as one of “The Big 10 leaders in beauty,” Leslie Blodgett has earned her i...",Founder and Executive Chairman,Bare Escentuals,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/LeslieBlodgett,,3,
Naomi Gleit,"Naomi Gleit is Vice President of Product Management for Social Good at Facebook. As one of the first employees at Facebook, she has worked o...",Product Manager,Facebook,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,2,1
Christina Cacioppo,Christina Cacioppo is the chief executive officer of Vanta.,CEO,Vanta,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/christinacaci,,2,
Varsha Rao,"Varsha Rao is the CEO of Nurx, which is revolutionizing healthcare by home-delivering prescriptions, medication, and screening tests. She is...",Chief Executive Officer,Nurx,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/varsharao,http://www.varsharao.com/,9,2
Soraya Darabi,"Soraya Darabi has her finger firmly on the pulse of today's changing media landscape. Featured on the cover of Fast Company's ""Most Creative...",Co-Founder,Zady,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/sorayadarabi,,5,2
Anna Patterson,"Anna is the Founder and Managing Partner at Gradient Ventures, overseeing the fund’s global activities. Anna is an accomplished leader in t...",Founder & Managing Partner,Gradient Ventures,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/AnnapPatterson,,1,1
Ligaya Tichy,Ligaya launches new markets for consumer technology companies. She kickstarted Airbnb's international development as Global Head of Offline ...,Angel Investor,37 Angels,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,4,1
Andrea Coravos,"Andy Coravos (@andreacoravos) is the CEO/co-founder of Elektra Labs, building a digital medicine platform focusing on digital biomarkers for...",CEO and Co-founder,Elektra Labs,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",https://twitter.com/andreacoravos,,1,
Shayna Modarresi,"Shayna Modarresi is a Venture Partner at XG Ventures. Prior to joining XG Ventures, Shayna managed DLA Piper's Venture Group where she focus...",Founder and Managing Partner,Lodestar Ventures,"Early Stage Venture, Seed",Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/shayna_007,,4,
Anjula Acharia Bath,"Anjula Acharia is an entrepreneur, philanthropist, pop culture enthusiast and angel investor in ClassPass, The Hunt (acquired by Pinterest),...",Partner,Trinity Ventures,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/anjulaacharia,,4,
