Name,Website,Office/s,Stage/s,Portfolio,Market/s,Firm LinkedIn,Firm Twitter,Contact Downloads
Amplify LA,http://amplify.la,Los Angeles (United States),"Pre-Seed, Seed",http://amplify.la/portfolio,"B2B/Enterprise Software, Consumer Products, Consumer Services, FinTech, Cyber Security, Blockchain, eSports, Gaming, E-commerce, Retail, Fashion, Digital Health, HealthTech, FoodTech, HRTech, Automobile, Marketplaces",https://www.linkedin.com/company/amplify-la,http://twitter.com/amplifyla,https://payhip.com/projectstartups
Animo Ventures,https://animo.vc,"Miami (United States), San Francisco (United States), New York (United States)","Pre-Seed, Seed",,"Industry Agnostic (B2B/Enterprise, B2C/Consumer, Enterprise Software, Cloud Computing, FinTech, Digital Health, Consumer Products/D2C, FoodTech, Marketplaces)",https://www.linkedin.com/company/animoventures/,https://twitter.com/animovc,https://payhip.com/projectstartups
Antler,https://www.antler.co,"Singapore, Sydney (Australia), New York (United States), Nairobi (Kenya), Amsterdam (Netherlands), London (United Kingdom), Berlin (Germany), Oslo (Norway), Stockholm (Sweden), Jakarta (Indonesia), Ho Chi Minh City (Vietnam), Bengaluru (India), Austin (United States), Toronto (Canada)","Pre-Seed, Seed",https://www.antler.co/portfolio,"AI/Machine Learning, Consumer Tech, EdTech, Energy, FinTech, Food and AgriTech, HealthTech, HRTech, Logistics and Manufacturing, Media and Communication, Mobility, PropTech, Retail and E-Commerce, SaaS",https://www.linkedin.com/company/antleri,http://twitter.com/antlerGlobal,https://payhip.com/projectstartups
APEX Ventures,https://www.apex.ventures,"Vienna (Austria), Frankfurt (Germany), Los Angeles (United States)","Pre-Seed, Seed, Series A",https://www.apex.ventures/portfolio_apex/,"DeepTech & Defendable IP:- AI, ML, Blockchain, Cloud Computing, IoT, 3D Printing, AR, VR, Data Analytics, Smart Contracts, Computer Vision, Autonomy (Digital Platforms, Smart Data & Cyber Security, FinTech & InsurTech, Industry 4.0 Future of Work, Digital Health)",https://www.linkedin.com/company/apex-ventures-gmbh/,https://twitter.com/apex_vc,https://payhip.com/projectstartups
Arali Ventures,https://araliventures.in,Bangalore (India),"Pre-Seed, Seed",https://araliventures.in/teams-main-page.html,"DeepTech Enterprise/B2B Tech (Software, Artificial Intelligence, Robotics)",https://www.linkedin.com/company/araliventures/,,https://payhip.com/projectstartups
Arka Ventures,https://arka.vc,"Mumbai (India), Palo Alto (United States)","Pre-Seed, Seed",https://arka.vc/portfolio/,"Indian B2B startups (Enterprise Software, B2B, B2B2C, RetailTech, HealthTech, FinTech, Smart City, AgTech, TravelTech, EdTech, Automotive, Energy and Utilities, DeepTech)",https://www.linkedin.com/company/arka-venture-labs/,https://twitter.com/ArkaVentureLabs,https://payhip.com/projectstartups
Array Ventures,https://www.array.vc,San Francisco (United States),"Pre-Seed, Seed",https://www.array.vc/#/investments,"Enterprise DeepTech, Big Data, Artificial Intelligence, AI/ML, Workflow Automation, B2B (HealthTech, RetailTech, EdTech, Cyber Security, SaaS, Communication)",https://www.linkedin.com/company/array-ventures/,https://twitter.com/arrayvc,https://payhip.com/projectstartups
Artha Ventures Fund,https://artha.vc,Mumbai (India),"Pre-Seed, Seed, Series A",https://artha.vc/portfolio/,"Consumption Enabler, Consumption, B2B/Enterprise, B2C/Consumer (FinTech, Sports, Entertainment, FoodTech, MobilityTech, EdTech)",https://www.linkedin.com/company/arthaventurefund/,https://twitter.com/artha_vc,https://payhip.com/projectstartups
Ausum Ventures,https://www.ausum.vc,San Francisco (United States),"Pre-Seed, Seed, Pre-Series A",https://www.ausum.vc/portfolio,"Cryptoassets, Cryptocurrency, Blockchain, Blockchain Protocols (Financial Inclusion, Digital Identity, Privacy, Supply Chain, Energy, Civic)",https://pt.linkedin.com/company/ausum-ventures,https://twitter.com/ausumventures,https://payhip.com/projectstartups
Backstage Capital,https://backstagecapital.com,Los Angeles (United States),"Pre-Seed, Seed, Series A",https://backstagecapital.com/portfolio/,"Underrepresented Founders (Women, People of Color, LGBTQ): (Software, Enterprise/B2B, Blockchain, FinTech, EdTech, Consumer Tech, Consumer Goods, DTC, E-commerce, FoodTech, Gaming, Digital Health, Digital Media, SaaS, Marketplaces)",https://www.linkedin.com/company/backstage-capital,https://twitter.com/Backstage_Cap,https://payhip.com/projectstartups
BAM Ventures,https://www.bam.vc,Los Angeles (United States),"Pre-Seed, Seed, Series A",https://www.bam.vc/companies,"Consumer (Health, FinTech, Media, Food, Fashion, Marketing, Wellness, Beauty, Gaming, Real Estate, Sports, Telecom, TravelTech, EdTech, Energy)",https://www.linkedin.com/company/bam-ventures-llc/,,https://payhip.com/projectstartups
Beast Ventures,https://www.beast.vc,London (United Kingdom),"Pre-Seed, Seed, (Series A, Series B)",https://www.beast.vc/portfolio,"DeepTech (Synthetic Biology, Software, Digital Health, EdTech, Life Sciences, MedTech, Autonomous Drone, Health Care IT, Supply Chain, AgTech)",,,https://payhip.com/projectstartups
Bee Partners,https://www.beepartners.vc,San Francisco (United States),"Pre-Seed, Seed",https://www.beepartners.vc/portfolio,"Human-Machine Convergence (Robotics, Artificial Intelligence, Voice, Industrial Biology, Synthetic Biology)",http://www.linkedin.com/company/beepartnersvc,https://twitter.com/BeePartners,https://payhip.com/projectstartups
Better Capital,https://www.bettercapital.vc,"San Francisco (United States), Pune (India)","Pre-Seed, Seed",https://www.bettercapital.vc/portfolio/,"FinTech, InsurTech, AgTech, EdTech, B2B/Enterprise SaaS, B2C, Gaming, Consumer Brands, HealthTech, Crypto + Decentralized Future",,,https://payhip.com/projectstartups
Better Tomorrow Ventures,https://www.btv.vc,San Francisco (United States),"Pre-Seed, Seed, Series A, Series B",https://www.btv.vc/companies,"Financial Technology, Future of Financial Services (Accounting & Finance, Cards & Banking, Lending & Financing, Infrastructure, Insurance, Marketplace, Personal Financial, Payments, Payroll & Benefits)",https://www.linkedin.com/company/better-tomorrow-ventures/,https://twitter.com/btv_vc,https://payhip.com/projectstartups
Better Ventures,https://www.better.vc,Oakland (United States),"Pre-Seed, Seed, Series A",https://www.better.vc/portfolio/,"Sustainable Economy (Future Of Food, Biomanufacturing, ClosedLoop Production & Consumption, Clean Energy & Electric Mobility), Data-Driven Health (Personalized Medicine, Value-based Care, Behavioral Health, Drug Discovery), Adaptive Workforce (Future of Work, Personalized Learning, Upskilling)",https://www.linkedin.com/company/bettervc/,https://twitter.com/betterventures,https://payhip.com/projectstartups
Blackbird Ventures,https://www.blackbird.vc,"Sydney (Australia), Melbourne (Australia), Auckland (New Zealand)","Pre-Seed, Seed, Series A, Series B",https://www.blackbird.vc/portfolio,"Consumer Tech, Consumer Brands, D2C, FoodTech, AgTech, FinTech, Crypto, EdTech, E-commerce, Marketplace, Enterprise Software, Cloud, HRTech, MarTech, RetailTech, Cyber Security, Databases, Synthetic Biology, BioTech, MedTech, Digital Health, HealthTech, Robotics, IoT, Autonomous, SpaceTech, Semiconductors, Solar",https://www.linkedin.com/company/blackbird-ventures,https://twitter.com/blackbirdvc,https://payhip.com/projectstartups
Blockchain Valley Ventures,https://bvventures.ch,"Zug (Switzerland), Singapore","Pre-Seed, Seed, Series A",https://bvventures.ch/portfolio,"Blockchain, Blockchain-enabled",https://www.linkedin.com/company/blockchain-valley-ventures/,https://twitter.com/bvventures,https://payhip.com/projectstartups
Blu Ventures,https://www.bluventureinvestors.com,Vienna (United States),"Pre-Seed, Seed, Series A, Series B",https://www.bluventureinvestors.com/companies,"Cyber Security, Enterprise Software, IoT, Telecom, HealthTech, Digital Media, Non Invasive Biological Sciences",,,https://payhip.com/projectstartups
Boost VC,https://www.boost.vc,San Mateo - CA (United States),"Pre-Seed, Seed",https://www.boost.vc/portfolio,"Sci-Fi, DeepTech, Crypto, Blockchain, Virtual Reality, Augmented Reality, AR/VR, Artificial Intelligence, AI/ML, Ocean Tech, BioTech, Space Tech, Human Augmentation, Exoskeletons",https://www.linkedin.com/company/boost-vc/,https://twitter.com/BoostVC,https://payhip.com/projectstartups
BoxGroup,https://www.boxgroup.com,New York (United States),"Pre-Seed, Seed, Series A",https://www.boxgroup.com/portfolio,"Consumer, Enterprise, FinTech, Health Care & Life Sciences, Marketplaces, Synthetic Biology & Climate",https://www.linkedin.com/company/boxgroup/,https://twitter.com/boxgroup,https://payhip.com/projectstartups
BoxOne Ventures,https://www.boxone.xyz/,Montreal (Canada),"Pre-Seed, Seed",https://www.boxone.xyz/portfolio,"FinTech, Crypto/Decentralized Finance, Blockchain, Applied ML/AI, Synthetic Biology/BioTech, Hardware, Telecom",https://www.linkedin.com/company/boxoneventures/,,https://payhip.com/projectstartups
byFounders,https://www.byfounders.vc,Copenhagen (Denmark),"Pre-Seed, Seed, Series A, Series B",https://www.byfounders.vc/portfolio,"Consumer Internet, Web 3, Digital Health, Autonomous Mobility, Gaming, 3D Printing, PropTech, MarTech, IoT, ClimateTech, FinTech, DevTools, EdTech, Cyber Security, Hospitality, SaaS, B2B",https://dk.linkedin.com/company/byfounders,https://twitter.com/byfounders,https://payhip.com/projectstartups
Calm Ventures,https://www.calmvc.com,"Los Angeles (United States), New York (United States)","Pre-Seed, Seed, Series A",,"Emerging Brands, Emerging Tech, Consumer Internet, Mobile, Media, Food and Beverages, FoodTech, FinTech, E-commerce, Blockchain/Cryptocurrency",https://www.linkedin.com/company/calmventures/,,https://payhip.com/projectstartups
Cardumen Capital,https://www.cardumencapital.com,"Tel Aviv (Israel), Madrid (Spain)","Pre-Seed, Seed, Series A",https://www.cardumencapital.com/disruptors,"Big Data, Artificial Intelligence (AI/ML), GovTech, Industry 4.0, Cyber Security, Future of Work, Developer Tools, B2B, Enterprise, Software, SaaS",https://www.linkedin.com/company/cardumencapital/,https://twitter.com/cardumencapital,https://payhip.com/projectstartups
Carthona Capital,https://www.carthonacapital.com,Sydney (Australia),"Pre-Seed, Seed, Series A",,"FinTech, Crypto, AI, Robotics, AgTech, Aviation, Digital Health, Mobile, Enterprise Software, MarTech, Cyber Security, HRTech, Retail, PropTech, Sensors, IoT, Wireless, Autonomous Vehicles, Entertainment, VR, Marketplaces",https://www.linkedin.com/company/carthona-capital/,https://twitter.com/carthonacapital,https://payhip.com/projectstartups
Cavalry Ventures,https://www.cavalry.vc,Berlin (Germany),"Pre-Seed, Seed",,"Advertising, Automation, Coaching, Communication, Consumer, Database, Enterprise, Health Care, Food, Insurance, IoT, Legal, Logistics & Mobility, Mapping, Marketplaces, Mobile, Real Estate, SaaS, Security, Sustainability",https://www.linkedin.com/company/cavalry-ventures/,https://twitter.com/cavalryvc,https://payhip.com/projectstartups
Change Ventures,https://www.changeventures.com,Tallinn (Estonia),"Pre-Seed, Seed",https://www.changeventures.com/portfolio,"EdTech, JobTech, FinTech, AI, ML, Data Analytics, Enterprise Software, Digital Media, EventTech, Real Estate, PropTech, Marketplaces",https://www.linkedin.com/company/changeventures/,https://twitter.com/changeventures,https://payhip.com/projectstartups
Charge VC,https://charge.vc,New York (United States),"Pre-Seed, Seed",https://charge.vc/portfolio/,"SaaS, Mobile, E-commerce, Social Media, Enterprise Software, FinTech, Health Care, Medical Devices, Open Source, Marketplaces, AI, Mobility, Cryptocurrency, Blockchain, Future Of Work",https://www.linkedin.com/company/charge-ventures/,https://twitter.com/chargeventures,https://payhip.com/projectstartups
Cherry Ventures,https://www.cherry.vc,Berlin (Germany),"Pre-Seed, Seed, Series A",https://www.cherry.vc/portfolio/,"Consumer, FinTech, HealthTech, Industry 4.0, Enterprise, Lifestyle, Mobility, SaaS, TravelTech, FoodTech, AgTech, Logistics, Marketplaces",https://www.linkedin.com/company/cherry-ventures,https://twitter.com/cherryventures,https://payhip.com/projectstartups
Chingona Ventures,https://www.chingona.ventures,Chicago (United States),"Pre-Seed, Seed",,"Consumer, FinTech, EdTech, FoodTech, Female Tech, Wellness Products, E-commerce, Future of Work, Marketplaces",https://www.linkedin.com/company/35645677,https://twitter.com/ChingonaVC,https://payhip.com/projectstartups
Chloe Capital,https://chloecapital.com,"New York (United States), Chicago (United States)","Pre-Seed, Seed",https://chloecapital.com/portfolio/,"Female Founders (Future of Work & Education, EdTech, SaaS, HRTech, Blockchain, AI, VR/AR, IoT, CleanTech, FoodTech, AgTech, Hardware, Wearables, Robotics, Marketplaces)",https://www.linkedin.com/company/chloecapital/,https://twitter.com/chloecapital,https://payhip.com/projectstartups
Cleo Capital,https://www.cleocap.com,San Francisco (United States),"Pre-Seed, Seed",https://www.cleocap.com/portfolio,"Female Founders (Consumer Products, D2C, E-commerce, Fashion, Beauty, Luxury, FoodTech, Digital Media, FinTech, Digital Health, Enterprise Software, AI, ML, Hardware, Infrastructure, Cloud Computing, PropTech, Health Care, BioTech)",https://www.linkedin.com/company/cleo-capital/,https://twitter.com/cleocapital,https://payhip.com/projectstartups
Cloud Capital,https://www.cloudcap.in,Delhi (India),"Pre-Seed, Seed, Pre-Series A",,"Cloud Economy (FinTech, Digital Health, FoodTech, EdTech, Web 3, Gaming, Blockchain, RetailTech, Commerce Tech, Dev Tools, SaaS, Software, B2B)",https://www.linkedin.com/company/cloudcapital/,https://mobile.twitter.com/cloud_capital,https://payhip.com/projectstartups
Combine VC,https://combine.vc,San Francisco (United States),"Pre-Seed, Seed, Series A",,"Consumer Brands, Beverages, EdTech, HealthTech, Digital Health, PropTech, Enterprise Software",https://www.linkedin.com/company/combinevc/,https://twitter.com/combinevc,https://payhip.com/projectstartups
Company Ventures,https://www.companyventures.co,New York (United States),"Pre-Seed, Seed, Series A",https://www.companyventures.co/portfolio,"Consumer, FinTech, Health & Wellness/Digital Health, Enterprise Software, Real Estate",https://www.linkedin.com/company/company-ventures/,https://twitter.com/Company,https://payhip.com/projectstartups
Concrete Ventures,https://www.concrete.vc,Halifax (Canada),"Pre-Seed, Seed",https://www.concrete.vc/portfolio/,"Enterprise Software, SalesTech, Cyber Security, GovTech, LegalTech, Hardware, BioTech, EdTech",https://www.linkedin.com/company/concrete-ventures/,https://twitter.com/ConcreteVC,https://payhip.com/projectstartups
ConsenSys Mesh,https://mesh.xyz/,Washington DC (United States),"Pre-Seed, Seed, Series A",https://www.mesh.xyz/portfolio,"Blockchain, Web 3 (Decentralised Protocols, Infrastructure & Applications)",https://www.linkedin.com/company/consensys-mesh/,https://twitter.com/ConsenSysMesh,https://payhip.com/projectstartups
Contrarian Ventures,https://www.cventures.vc,"Vilnius (Lithuania), Amsterdam (Netherlands), London (United Kingdom)","Pre-Seed, Seed, Series A",https://www.cventures.vc/portfolio/,"Energy Tech, e-Mobility",https://www.linkedin.com/company/contrarian-ventures/,https://twitter.com/contrarianvc,https://payhip.com/projectstartups
Crane,https://crane.vc,London (United Kingdom),"Pre-Seed, Seed",https://crane.vc/portfolio/,"Enterprise Software, Data",,,https://payhip.com/projectstartups
Curious Capital,https://curious.vc,Seattle (United States),"Pre-Seed, Seed",,"Consumer Tech, Enterprise Tech, SaaS, AI, AR",https://www.linkedin.com/company/curiouscapital/,,https://payhip.com/projectstartups
Diaspora Ventures,https://www.diaspora.vc,New York (United States),"Pre-Seed, Seed",https://www.diaspora.vc/#portfolio,French Tech Founders in USA,https://www.linkedin.com/company/diasporavc/,,https://payhip.com/projectstartups
Dipalo Ventures,https://dipaloventures.com,Chicago (United States),"Pre-Seed, Seed, Series A",,"Connected Hardware, HardTech, Hardware, Software",https://www.linkedin.com/company/dipaloventures/,https://twitter.com/DipaloVentures,https://payhip.com/projectstartups
Disruptech Ventures,https://www.disruptechventures.com,Giza (Egypt),"Pre-Seed, Seed, Series A",https://www.disruptechventures.com/#Portfolio-Companies,"FinTech (Open Banking, Digital Lending & Saving, Consumer Financing, Payments, Merchant Factoring, E-Distribution, Marketplaces, Analytics, B2B)",https://www.linkedin.com/company/disruptech-ventures/,,https://payhip.com/projectstartups
District Ventures Capital,https://www.districtventurescapital.com,"Calgary (Canada), Toronto (Canada)","Pre-Seed, Seed, Series A",https://www.districtventurescapital.com/portfolio,"Consumer Goods, CPG, Consumer Products (Food & Beverage, Health & Wellness, Beauty)",https://www.linkedin.com/company/district-ventures-lp/,https://twitter.com/districtvcap,https://payhip.com/projectstartups
Dreamcraft,https://dreamcraft.vc/,Copenhagen (Denmark),"Pre-Seed, Seed, Series A",https://dreamcraft.vc/companies,"Enterprise Software, ML, Gaming, eSports, DTC, Fashion, FinTech, EdTech, Digital Health, HealthTech, AdTech, TravelTech, Social, Marketplaces",https://www.linkedin.com/company/bumbleventures/,https://twitter.com/bumbleventures,https://payhip.com/projectstartups
Dynamo Ventures,https://dynamo.vc,Chattanooga (United States),"Pre-Seed, Seed, Series A",https://dynamo.vc/portfolio,"Supply Chain, Logistics, Mobility",http://linkedin.com/company/dynamovc,https://twitter.com/thisisdynamo,https://payhip.com/projectstartups
Earl Grey Capital,https://earlgrey.capital,Austin (United States),"Pre-Seed, Seed",https://earlgrey.capital/portfolio,"API First, Protocol/DAO, Developer Tools, Platforms, Web 3, Web 2, B2B, SaaS, AI/ML, Blockchain",,,https://payhip.com/projectstartups
EchoVC Partners,https://www.echovc.com,Lagos (Nigeria),"Pre-Seed, Seed, Series A",https://www.echovc.com/ourportfolio,"Consumer Internet, Smart Data, Mobile, Commerce, Digital Media, Software, Enterprise Infrastructure",https://www.linkedin.com/company/echovc-partners/,https://twitter.com/EchoVC,https://payhip.com/projectstartups
Elefund,https://elefund.com,Palo Alto (United States),"Pre-Seed, Seed, Series A",https://elefund.com/portfolio/,"FinTech, Consumer Hardware, Digital Health, HealthTech, TravelTech, PropTech, Sports, Enterprise Software, Cloud Infrastructure, Gaming, Marketplaces, HRTech, Aerospace, Logistics, Transportation",https://www.linkedin.com/company/elefund,https://twitter.com/elefundvc,https://payhip.com/projectstartups
Elevate Capital,https://elevate.vc,Portland (United States),"Pre-Seed & Seed (Minority And Portland Startups), Seed & Series-A (Regional, Global Startups)",https://elevate.vc/portfolio/,"SaaS, CPG, Science/Tech, HealthCare, Platform, Hardware/IoT, Sustainability, Medical Devices, Lab Testing, FinTech, Pharma, Blockchain",https://www.linkedin.com/company/elevate-capital-fund/,https://twitter.com/pdxelevatevc,https://payhip.com/projectstartups
Embark Ventures,https://www.embark.vc,Santa Monica (United States),"Pre-Seed, Seed",,"DeepTech (Bio-Health Care, Software-Computing, Manufacturing-Industrial, Material Science, Robotics-Automation, Sensors-Semiconductors)",https://www.linkedin.com/company/embark-ventures/,https://twitter.com/embarkventures,https://payhip.com/projectstartups
Emergent Ventures,https://www.emergent.vc,San Mateo (United States),"Pre-Seed, Seed, Series A",https://www.emergent.vc/startups/,"Intelligent Software (Enterprise Software, SaaS, Cloud Infrastructure, AI, Machine Learning, Modern Data Processing), Smart Mobility (Personal Mobility, B2B Logistics, Delivery Networks, Vehicle Electrification)",https://www.linkedin.com/company/emergent-vc/,https://twitter.com/emergent_vc,https://payhip.com/projectstartups
Emerging Ventures,https://emerging.vc,Los Angeles (United States),"Pre-Seed, Seed, Series A",https://emerging.vc/fund-portfolio/#portfolio-wrapper-2,"DeepTech, Emerging Tech, AI/ML, IoT, Robotics, Drones, Automation, Consumer Tech, Cyber Security, PropTech, B2B, Enterprise, SaaS, Software",https://www.linkedin.com/company/emerging-vc/,https://twitter.com/emerging_v_c,https://payhip.com/projectstartups
EMVC,https://www.em.vc,"Mumbai (India), Bengaluru (India), Washington DC (United States)","Pre-Seed, Seed, Series A",https://www.em.vc/portfolio-emphasis-ventures,"FinTech (Next Generation Payments, Biometrics & Cyber Security, Retail Asset Management & Personal Finance, Insurtech Products & Distribution, Commerce Supply Chain Accounting, Logistics & Finance, Blockchain & Decentralized Economy Applications, Enterprise AI for Financial Institutions, PropTech & Capital Markets Innovation)",https://www.linkedin.com/company/emvcfintechfund/,http://www.twitter.com/emvc,https://payhip.com/projectstartups
Eniac Ventures,https://eniac.vc,"San Francisco (United States), New York (United States)","Pre-Seed, Seed",https://eniac.vc/companies/,"Enterprise Software, FinTech, HealthTech, Digital Media, MarTech, EdTech, Gaming, FoodTech, Transportation, Cyber Security, PropTech, Robotics, E-commerce, AR, VR, Marketplaces",https://www.linkedin.com/company/eniacvc/,https://twitter.com/eniacvc,https://payhip.com/projectstartups
Essence Venture Capital,https://www.essencevc.fund/,Seattle (United States),"Pre-Seed, Seed, Series A",,"Data Infrastructure, Dev Tools, B2B, SaaS, Enterprise",https://www.linkedin.com/company/essence-venture-capital/,https://twitter.com/essenceventure,https://payhip.com/projectstartups
F2 Venture Capital,https://www.f2vc.com,Tel Aviv (Israel),"Pre-Seed, Seed",https://www.f2vc.com/companies,"Frontier Tech, Deep Tech, AI, Connectivity, Big Data (Enterprise Software, Software Infrastructure, Cyber Security, Digital Health, Financial Services, HR, Insurance, Media, Real Estate, Retail)",https://www.linkedin.com/company/f2-capital,https://twitter.com/F2_Capital,https://payhip.com/projectstartups
Faber Ventures,https://www.faber-ventures.com,Lisbon (Portugal),"Pre-Seed, Seed, Series A",https://www.faber-ventures.com/portfolio/,"Enterprise Software, Cloud Infrastructure, AI, ML, Data Analytics, FinTech, Sports, Digital Media, Dev Tools, MarTech, EdTech, Fashion, E-commerce, Marketplaces",https://www.linkedin.com/company/faber-ventures/,https://twitter.com/faber_vc,https://payhip.com/projectstartups
Fearless Fund,https://www.fearless.fund,"Atlanta (United States), Georgia (United States)","Pre-Seed, Seed, Series A",https://www.fearless.fund/portfolio,Flexible (Women of Color Founder),https://www.linkedin.com/company/fearless-fund/,https://www.linkedin.com/company/fearless-fund/,https://payhip.com/projectstartups
Female Founders Fund,https://femalefoundersfund.com,New York (United States),"Pre-Seed, Seed, Series A",https://femalefoundersfund.com/portfolio/,"Female Founders:- Enterprise Tech (Software, Cloud, VR, JobTech, Hospitality, Marketplaces), Consumer (Community-Driven Brands, Consumer Products, E-commerce, Fashion, Beauty, Mobile, Fitness, Beverages, Social, Pets), Health Care (Women’s Health, Mental Wellness, Pediatrics, Chronic Diseases, Digital Health), FinTech (Consumer-First Banking)",https://www.linkedin.com/company/f-cubed-female-founders-fund-/,https://twitter.com/fcubedvc,https://payhip.com/projectstartups
FinTech Ventures Fund,https://www.fintechv.com,"Atlanta (United States), New York (United States)","Pre-Seed, Seed",https://www.fintechv.com/portfolio,"FinTech/InsurTech (Banking/Capital Markets, Lending/Working Capital Solutions, Financial Management/Wellness, Real Estate/PropTech, Insurance, Risk Management, Value-Add Payments)",https://www.linkedin.com/company/fintech-ventures-fund/,https://twitter.com/fintechv,https://payhip.com/projectstartups
First Check Ventures,https://www.firstcheckventures.com,Mexico (Mexico),"Pre-Seed, Seed",,"Consumer Internet, E-commerce, Social Commerce, Consumer Products, Consumer Health & Fitness, Mobile, Social Media, Social Games, Enterprise Software, FinTech, Logistics, Marketplaces",https://www.linkedin.com/company/first-check-ventures/,,https://payhip.com/projectstartups
